---                                                | Device type                                                  | 1000-00h| 0x00020192 | 0x00020192 | 0x00020192 | 0x00020192 | 0x00020192 | 0x00020192
---                                                | Error Register                                               | 1001-00h| 0x00       | 0x00       | 0x00       | 0x00       | 0x00       | 0x00
Sync manager type                                  | SubIndex 000                                                 | 1C00-00h| 0x04       | 0x04       | 0x04       | 0x04       | 0x04       | 0x04
Identity                                           | SubIndex 000                                                 | 1018-00h| 0x04       | 0x04       | 0x04       | 0x04       | 0x04       | 0x04
Identity                                           | Vendor ID                                                    | 1018-01h| 0x00100000 | 0x00100000 | 0x00100000 | 0x00100000 | 0x00100000 | 0x00100000
Identity                                           | Product Code                                                 | 1018-02h| 0x000c0108 | 0x000c0108 | 0x000c0108 | 0x000c0108 | 0x000c0108 | 0x000c0108
Identity                                           | Revision Number                                              | 1018-03h| 0x00010001 | 0x00010001 | 0x00010001 | 0x00010001 | 0x00010001 | 0x00010001
1st receive PDO Mapping                            | SubIndex 000                                                 | 1600-00h| 0x03       | 0x03       | 0x03       | 0x03       | 0x03       | 0x03
1st receive PDO Mapping                            | 1st Output Object to be mapped                               | 1600-01h| 0x60400010 | 0x60400010 | 0x60400010 | 0x60400010 | 0x60400010 | 0x60400010
1st receive PDO Mapping                            | 2nd Output Object to be mapped                               | 1600-02h| 0x607a0020 | 0x607a0020 | 0x607a0020 | 0x607a0020 | 0x607a0020 | 0x607a0020
1st receive PDO Mapping                            | 3rd Output Object to be mapped                               | 1600-03h| 0x60b80010 | 0x60b80010 | 0x60b80010 | 0x60b80010 | 0x60b80010 | 0x60b80010
1st receive PDO Mapping                            | 4th Output Object to be mapped                               | 1600-04h Command '['ethercat', '-p', '0', 'upload', '--type', 'uint32', '0x1600', '0x4']' returned non-zero exit status 1.
1st receive PDO Mapping                            | 5th Output Object to be mapped                               | 1600-05h Command '['ethercat', '-p', '0', 'upload', '--type', 'uint32', '0x1600', '0x5']' returned non-zero exit status 1.
1st receive PDO Mapping                            | 6th Output Object to be mapped                               | 1600-06h Command '['ethercat', '-p', '0', 'upload', '--type', 'uint32', '0x1600', '0x6']' returned non-zero exit status 1.
1st receive PDO Mapping                            | 7th Output Object to be mapped                               | 1600-07h Command '['ethercat', '-p', '0', 'upload', '--type', 'uint32', '0x1600', '0x7']' returned non-zero exit status 1.
1st receive PDO Mapping                            | 8th Output Object to be mapped                               | 1600-08h Command '['ethercat', '-p', '0', 'upload', '--type', 'uint32', '0x1600', '0x8']' returned non-zero exit status 1.
1st receive PDO Mapping                            | 9th Output Object to be mapped                               | 1600-09h Command '['ethercat', '-p', '0', 'upload', '--type', 'uint32', '0x1600', '0x9']' returned non-zero exit status 1.
1st receive PDO Mapping                            | 10th Output Object to be mapped                              | 1600-0Ah Command '['ethercat', '-p', '0', 'upload', '--type', 'uint32', '0x1600', '0xa']' returned non-zero exit status 1.
258th receive PDO Mapping                          | SubIndex 000                                                 | 1701-00h| 0x04       | 0x04       | 0x04       | 0x04       | 0x04       | 0x04
258th receive PDO Mapping                          | 1st Output Object to be mapped                               | 1701-01h| 0x60400010 | 0x60400010 | 0x60400010 | 0x60400010 | 0x60400010 | 0x60400010
258th receive PDO Mapping                          | 2nd Output Object to be mapped                               | 1701-02h| 0x607a0020 | 0x607a0020 | 0x607a0020 | 0x607a0020 | 0x607a0020 | 0x607a0020
